site YYMMMDD yyyy_yyyy x__MJD week d reflon x_e0_m_ x__east_m_ x____n0_m_ x_north_m_ u0_m_ x____up_m_ x_ant_m_ sig_e_m_ sig_n_m_ sig_u_m_ x__corr_en x__corr_eu x__corr_nu
BRD1 16MAR05 2016.1752 57452 1886 7 -119.0 -239 -0.616741 4408352 0.299153 1247 0.394071 0.0083 0.000497 0.000629 0.001896 0.036157 -0.085530 -0.109921
BRD1 16MAR06 2016.1780 57453 1887 1 -119.0 -239 -0.619703 4408352 0.299228 1247 0.405823 0.0083 0.000474 0.000608 0.001817 0.056819 -0.057881 -0.100257
BRD1 16MAR07 2016.1807 57454 1887 2 -119.0 -239 -0.618374 4408352 0.299095 1247 0.399410 0.0083 0.000477 0.000601 0.001830 0.039500 -0.059878 -0.116400
BRD1 16MAR08 2016.1834 57455 1887 3 -119.0 -239 -0.616698 4408352 0.300272 1247 0.397902 0.0083 0.000774 0.000950 0.002876 0.048945 0.044576 -0.150391
BRD1 16MAR10 2016.1889 57457 1887 5 -119.0 -239 -0.621894 4408352 0.298199 1247 0.390037 0.0083 0.000470 0.000596 0.001792 0.052463 -0.061340 -0.093438
BRD1 16MAR11 2016.1916 57458 1887 6 -119.0 -239 -0.616243 4408352 0.300379 1247 0.398155 0.0083 0.000471 0.000602 0.001800 0.035392 -0.049782 -0.081032
BRD1 16MAR12 2016.1944 57459 1887 7 -119.0 -239 -0.616280 4408352 0.300838 1247 0.395936 0.0083 0.000470 0.000595 0.001793 0.037845 -0.066590 -0.097305
BRD1 16MAR13 2016.1971 57460 1888 1 -119.0 -239 -0.619780 4408352 0.300874 1247 0.384089 0.0083 0.000472 0.000594 0.001793 0.040552 -0.067599 -0.109777
BRD1 16MAR14 2016.1999 57461 1888 2 -119.0 -239 -0.621162 4408352 0.301660 1247 0.391321 0.0083 0.000482 0.000601 0.001823 0.037510 -0.040517 -0.071809
BRD1 16MAR15 2016.2026 57462 1888 3 -119.0 -239 -0.611470 4408352 0.305475 1247 0.392093 0.0083 0.000465 0.000594 0.001775 0.020394 -0.035673 -0.072230
BRD1 16MAR16 2016.2053 57463 1888 4 -119.0 -239 -0.612960 4408352 0.305031 1247 0.391362 0.0083 0.000487 0.000603 0.001833 0.040656 -0.067963 -0.080060
BRD1 16MAR17 2016.2081 57464 1888 5 -119.0 -239 -0.612420 4408352 0.305323 1247 0.391369 0.0083 0.000492 0.000629 0.001884 0.007757 -0.042554 -0.088789
BRD1 16MAR18 2016.2108 57465 1888 6 -119.0 -239 -0.614190 4408352 0.303397 1247 0.396353 0.0083 0.000486 0.000599 0.001814 0.046048 -0.065153 -0.076822
BRD1 16MAR19 2016.2136 57466 1888 7 -119.0 -239 -0.615104 4408352 0.302607 1247 0.396807 0.0083 0.000476 0.000604 0.001796 0.021462 -0.054874 -0.092267
BRD1 16MAR21 2016.2190 57468 1889 2 -119.0 -239 -0.617388 4408352 0.302849 1247 0.393983 0.0083 0.000472 0.000597 0.001786 0.025115 -0.064566 -0.088137
BRD1 16MAR22 2016.2218 57469 1889 3 -119.0 -239 -0.619109 4408352 0.302458 1247 0.387879 0.0083 0.000472 0.000593 0.001785 0.035286 -0.052628 -0.103481
BRD1 16MAR23 2016.2245 57470 1889 4 -119.0 -239 -0.615545 4408352 0.302064 1247 0.397008 0.0083 0.000468 0.000596 0.001782 0.029604 -0.054704 -0.086697
BRD1 16MAR24 2016.2272 57471 1889 5 -119.0 -239 -0.615017 4408352 0.301193 1247 0.397863 0.0083 0.000469 0.000588 0.001766 0.030500 -0.045431 -0.107852
BRD1 16MAR25 2016.2300 57472 1889 6 -119.0 -239 -0.616300 4408352 0.301806 1247 0.397854 0.0083 0.000468 0.000589 0.001771 0.031516 -0.040789 -0.087773
BRD1 16MAR26 2016.2327 57473 1889 7 -119.0 -239 -0.616536 4408352 0.304030 1247 0.395990 0.0083 0.000471 0.000593 0.001790 0.041198 -0.050462 -0.086941
BRD1 16MAR27 2016.2355 57474 1890 1 -119.0 -239 -0.615889 4408352 0.304347 1247 0.398104 0.0083 0.000472 0.000594 0.001802 0.050478 -0.061130 -0.111830
BRD1 16MAR28 2016.2382 57475 1890 2 -119.0 -239 -0.619691 4408352 0.303277 1247 0.386507 0.0083 0.000473 0.000598 0.001797 0.031878 -0.051304 -0.083572
BRD1 16MAR29 2016.2409 57476 1890 3 -119.0 -239 -0.617608 4408352 0.302116 1247 0.397505 0.0083 0.000473 0.000602 0.001814 0.060025 -0.037131 -0.115677
BRD1 16MAR30 2016.2437 57477 1890 4 -119.0 -239 -0.616994 4408352 0.301941 1247 0.394810 0.0083 0.000477 0.000605 0.001826 0.069735 -0.058574 -0.119991
BRD1 16MAR31 2016.2464 57478 1890 5 -119.0 -239 -0.617645 4408352 0.301454 1247 0.402722 0.0083 0.000467 0.000586 0.001753 0.035532 -0.047586 -0.090037
BRD1 16APR01 2016.2491 57479 1890 6 -119.0 -239 -0.616650 4408352 0.302504 1247 0.398046 0.0083 0.000470 0.000593 0.001775 0.040630 -0.044101 -0.103378
BRD1 16APR02 2016.2519 57480 1890 7 -119.0 -239 -0.616903 4408352 0.302916 1247 0.393952 0.0083 0.000473 0.000596 0.001782 0.038494 -0.036934 -0.091091
BRD1 16APR03 2016.2546 57481 1891 1 -119.0 -239 -0.617525 4408352 0.303412 1247 0.395527 0.0083 0.000470 0.000593 0.001773 0.025368 -0.041580 -0.100427
BRD1 16APR04 2016.2574 57482 1891 2 -119.0 -239 -0.617901 4408352 0.302402 1247 0.397756 0.0083 0.000470 0.000591 0.001754 0.020313 -0.018975 -0.087998
BRD1 16APR05 2016.2601 57483 1891 3 -119.0 -239 -0.618656 4408352 0.302096 1247 0.396728 0.0083 0.000467 0.000595 0.001777 0.037541 -0.045284 -0.082700
BRD1 16APR06 2016.2628 57484 1891 4 -119.0 -239 -0.617434 4408352 0.302151 1247 0.397746 0.0083 0.000469 0.000595 0.001778 0.025214 -0.037776 -0.091964
BRD1 16APR07 2016.2656 57485 1891 5 -119.0 -239 -0.616926 4408352 0.303388 1247 0.396977 0.0083 0.000472 0.000594 0.001789 0.026550 -0.047952 -0.111111
BRD1 16APR08 2016.2683 57486 1891 6 -119.0 -239 -0.617451 4408352 0.301834 1247 0.394183 0.0083 0.000468 0.000598 0.001766 0.030538 -0.041642 -0.090827
BRD1 16APR09 2016.2710 57487 1891 7 -119.0 -239 -0.616977 4408352 0.301694 1247 0.398000 0.0083 0.000469 0.000587 0.001763 0.029672 -0.033249 -0.107412
BRD1 16APR10 2016.2738 57488 1892 1 -119.0 -239 -0.617917 4408352 0.300925 1247 0.395360 0.0083 0.000467 0.000588 0.001766 0.028872 -0.048555 -0.109776
BRD1 16APR11 2016.2765 57489 1892 2 -119.0 -239 -0.618699 4408352 0.302460 1247 0.399468 0.0083 0.000468 0.000586 0.001768 0.034954 -0.052162 -0.103802
BRD1 16APR12 2016.2793 57490 1892 3 -119.0 -239 -0.617712 4408352 0.303725 1247 0.402287 0.0083 0.000468 0.000585 0.001765 0.026768 -0.037480 -0.111513
BRD1 16APR13 2016.2820 57491 1892 4 -119.0 -239 -0.615058 4408352 0.300805 1247 0.397349 0.0083 0.000468 0.000587 0.001767 0.021310 -0.032873 -0.107503
BRD1 16APR14 2016.2847 57492 1892 5 -119.0 -239 -0.619581 4408352 0.306663 1247 0.389183 0.0083 0.000464 0.000586 0.001747 0.021474 -0.019019 -0.097407
BRD1 16APR15 2016.2875 57493 1892 6 -119.0 -239 -0.620382 4408352 0.302115 1247 0.393329 0.0083 0.000469 0.000588 0.001763 0.016381 -0.027181 -0.102699
BRD1 16APR16 2016.2902 57494 1892 7 -119.0 -239 -0.617625 4408352 0.301344 1247 0.398661 0.0083 0.000470 0.000586 0.001775 0.019484 -0.043300 -0.108847
BRD1 16APR17 2016.2930 57495 1893 1 -119.0 -239 -0.618189 4408352 0.302221 1247 0.399427 0.0083 0.000468 0.000590 0.001773 0.022032 -0.030199 -0.092583
BRD1 16APR18 2016.2957 57496 1893 2 -119.0 -239 -0.617539 4408352 0.302672 1247 0.396871 0.0083 0.000470 0.000587 0.001773 0.013003 -0.014749 -0.094018
BRD1 16APR19 2016.2984 57497 1893 3 -119.0 -239 -0.618151 4408352 0.302815 1247 0.390683 0.0083 0.000467 0.000595 0.001776 0.002769 0.003435 -0.080654
BRD1 16APR20 2016.3012 57498 1893 4 -119.0 -239 -0.618900 4408352 0.302230 1247 0.395821 0.0083 0.000469 0.000595 0.001790 0.011233 -0.010523 -0.105488
BRD1 16APR21 2016.3039 57499 1893 5 -119.0 -239 -0.619043 4408352 0.301246 1247 0.400708 0.0083 0.000469 0.000584 0.001772 0.029740 -0.059859 -0.119382
BRD1 16APR22 2016.3066 57500 1893 6 -119.0 -239 -0.621309 4408352 0.299882 1247 0.395467 0.0083 0.000473 0.000590 0.001781 0.036014 -0.050606 -0.099974
BRD1 16APR23 2016.3094 57501 1893 7 -119.0 -239 -0.618148 4408352 0.301967 1247 0.404733 0.0083 0.000466 0.000586 0.001750 0.017012 -0.016446 -0.075857
BRD1 16APR24 2016.3121 57502 1894 1 -119.0 -239 -0.617436 4408352 0.302678 1247 0.393276 0.0083 0.000466 0.000588 0.001752 0.013000 -0.005795 -0.082932
BRD1 16APR25 2016.3149 57503 1894 2 -119.0 -239 -0.619649 4408352 0.302061 1247 0.392519 0.0083 0.000465 0.000585 0.001744 0.014435 -0.008823 -0.085764
BRD1 16APR26 2016.3176 57504 1894 3 -119.0 -239 -0.617241 4408352 0.302113 1247 0.394193 0.0083 0.000464 0.000584 0.001744 0.019896 -0.012253 -0.093471
BRD1 16APR27 2016.3203 57505 1894 4 -119.0 -239 -0.618617 4408352 0.301887 1247 0.396153 0.0083 0.000470 0.000592 0.001771 0.027975 -0.040404 -0.104559
BRD1 16APR28 2016.3231 57506 1894 5 -119.0 -239 -0.619188 4408352 0.303481 1247 0.398968 0.0083 0.000466 0.000586 0.001752 0.013139 -0.010955 -0.082046
BRD1 16APR29 2016.3258 57507 1894 6 -119.0 -239 -0.617751 4408352 0.303815 1247 0.392065 0.0083 0.000464 0.000584 0.001746 0.000737 0.010558 -0.072666
BRD1 16APR30 2016.3285 57508 1894 7 -119.0 -239 -0.619305 4408352 0.302182 1247 0.390840 0.0083 0.000462 0.000580 0.001735 0.012339 0.003930 -0.083316
BRD1 16MAY01 2016.3313 57509 1895 1 -119.0 -239 -0.617141 4408352 0.301571 1247 0.389486 0.0083 0.000465 0.000587 0.001755 0.023577 -0.007040 -0.089329
BRD1 16MAY02 2016.3340 57510 1895 2 -119.0 -239 -0.618897 4408352 0.301192 1247 0.396726 0.0083 0.000471 0.000596 0.001804 0.010768 -0.028361 -0.089930
BRD1 16MAY03 2016.3368 57511 1895 3 -119.0 -239 -0.617972 4408352 0.301742 1247 0.399156 0.0083 0.000471 0.000586 0.001785 0.015573 -0.029166 -0.097746
BRD1 16MAY04 2016.3395 57512 1895 4 -119.0 -239 -0.617669 4408352 0.302995 1247 0.397589 0.0083 0.000465 0.000588 0.001762 0.020256 -0.008339 -0.096755
BRD1 16MAY05 2016.3422 57513 1895 5 -119.0 -239 -0.620229 4408352 0.301953 1247 0.393397 0.0083 0.000475 0.000601 0.001812 0.001987 -0.010448 -0.091886
BRD1 16MAY06 2016.3450 57514 1895 6 -119.0 -239 -0.617933 4408352 0.304825 1247 0.388921 0.0083 0.000465 0.000592 0.001767 0.021805 -0.030040 -0.092885
BRD1 16MAY07 2016.3477 57515 1895 7 -119.0 -239 -0.619146 4408352 0.302250 1247 0.395560 0.0083 0.000463 0.000588 0.001744 0.021442 -0.006411 -0.094516
BRD1 16MAY08 2016.3504 57516 1896 1 -119.0 -239 -0.617918 4408352 0.302223 1247 0.402156 0.0083 0.000485 0.000607 0.001821 0.054379 -0.038682 -0.102984
BRD1 16MAY09 2016.3532 57517 1896 2 -119.0 -239 -0.618816 4408352 0.302290 1247 0.410390 0.0083 0.000466 0.000594 0.001778 0.017945 -0.023337 -0.085306
BRD1 16MAY10 2016.3559 57518 1896 3 -119.0 -239 -0.618383 4408352 0.302690 1247 0.392463 0.0083 0.000467 0.000586 0.001764 0.024611 -0.031832 -0.091312
BRD1 16MAY11 2016.3587 57519 1896 4 -119.0 -239 -0.617724 4408352 0.302234 1247 0.394936 0.0083 0.000467 0.000591 0.001769 0.023517 -0.027303 -0.095498
BRD1 16MAY12 2016.3614 57520 1896 5 -119.0 -239 -0.618106 4408352 0.303225 1247 0.395521 0.0083 0.000463 0.000592 0.001761 0.012147 -0.020031 -0.085805
BRD1 16MAY13 2016.3641 57521 1896 6 -119.0 -239 -0.617865 4408352 0.302177 1247 0.395257 0.0083 0.000470 0.000600 0.001787 0.031770 -0.035751 -0.100778
BRD1 16MAY14 2016.3669 57522 1896 7 -119.0 -239 -0.617446 4408352 0.303974 1247 0.390804 0.0083 0.000474 0.000597 0.001804 0.011808 -0.049202 -0.084371
BRD1 16MAY15 2016.3696 57523 1897 1 -119.0 -239 -0.616497 4408352 0.302014 1247 0.395454 0.0083 0.000466 0.000591 0.001766 0.032999 -0.036978 -0.115569
