site YYMMMDD yyyy_yyyy x__MJD week d reflon x_e0_m_ x__east_m_ x____n0_m_ x_north_m_ u0_m_ x____up_m_ x_ant_m_ sig_e_m_ sig_n_m_ sig_u_m_ x__corr_en x__corr_eu x__corr_nu
BRDY 12JAN28 2012.0739 55954 1672 7 -119.0 -738 -0.201286 4405247 0.218088 1269 0.054266 0.1000 0.000639 0.000879 0.002714 0.036746 -0.061715 -0.131973
BRDY 12JAN29 2012.0767 55955 1673 1 -119.0 -738 -0.201324 4405247 0.217543 1269 0.054980 0.1000 0.000641 0.000874 0.002698 0.029427 -0.050788 -0.129761
BRDY 12JAN30 2012.0794 55956 1673 2 -119.0 -738 -0.201577 4405247 0.216744 1269 0.058665 0.1000 0.000643 0.000886 0.002713 0.040135 -0.045856 -0.113605
BRDY 12JAN31 2012.0821 55957 1673 3 -119.0 -738 -0.201024 4405247 0.218392 1269 0.058630 0.1000 0.000637 0.000878 0.002701 0.030487 -0.056581 -0.113547
BRDY 12FEB01 2012.0849 55958 1673 4 -119.0 -738 -0.201204 4405247 0.217815 1269 0.062574 0.1000 0.000633 0.000872 0.002646 0.039001 -0.064275 -0.106474
BRDY 12FEB02 2012.0876 55959 1673 5 -119.0 -738 -0.202225 4405247 0.218951 1269 0.053493 0.1000 0.000635 0.000877 0.002687 0.037671 -0.057667 -0.110468
BRDY 12FEB03 2012.0903 55960 1673 6 -119.0 -738 -0.200877 4405247 0.217123 1269 0.055632 0.1000 0.000637 0.000874 0.002687 0.048044 -0.048550 -0.137244
BRDY 12FEB04 2012.0931 55961 1673 7 -119.0 -738 -0.200965 4405247 0.217170 1269 0.057752 0.1000 0.000638 0.000876 0.002678 0.045678 -0.042193 -0.119144
BRDY 12FEB05 2012.0958 55962 1674 1 -119.0 -738 -0.200487 4405247 0.218789 1269 0.053883 0.1000 0.000634 0.000878 0.002684 0.037392 -0.045522 -0.106998
BRDY 12FEB06 2012.0986 55963 1674 2 -119.0 -738 -0.201735 4405247 0.218379 1269 0.060366 0.1000 0.000636 0.000872 0.002678 0.040686 -0.061784 -0.103029
BRDY 12FEB07 2012.1013 55964 1674 3 -119.0 -738 -0.200868 4405247 0.217253 1269 0.062533 0.1000 0.000650 0.000905 0.002812 0.069293 -0.069420 -0.133196
BRDY 12FEB08 2012.1040 55965 1674 4 -119.0 -738 -0.201744 4405247 0.216494 1269 0.058204 0.1000 0.000640 0.000875 0.002710 0.033691 -0.048382 -0.121611
BRDY 12FEB09 2012.1068 55966 1674 5 -119.0 -738 -0.201195 4405247 0.217794 1269 0.054161 0.1000 0.000669 0.000898 0.002736 0.054878 -0.042972 -0.158847
BRDY 12FEB10 2012.1095 55967 1674 6 -119.0 -738 -0.202403 4405247 0.219059 1269 0.055701 0.1000 0.000670 0.000895 0.002734 0.058389 -0.047582 -0.140116
BRDY 12FEB11 2012.1123 55968 1674 7 -119.0 -738 -0.201425 4405247 0.217996 1269 0.053608 0.1000 0.000673 0.000904 0.002771 0.064836 -0.049785 -0.128517
BRDY 12FEB12 2012.1150 55969 1675 1 -119.0 -738 -0.201453 4405247 0.216694 1269 0.063184 0.1000 0.000670 0.000907 0.002762 0.064111 -0.060038 -0.119455
