mast slav V Vunc
19920607 19920712 -4916.81954 724.56884
19920607 19930418 -5948.07343 724.56884
19920712 19920816 -12806.24304 724.56884
19920816 19930103 -10655.93135 724.56884
19930418 19930905 -13222.18917 724.56884
19930418 19931219 -8040.71353 724.56884
19930627 19930905 -5862.41248 724.56884
19930627 19950411 -9484.44609 724.56884
19950411 19950516 -11958.37542 724.56884
19950516 19950620 -7864.63474 724.56884
19950620 19950829 -1874.30169 724.56884
19950829 19951108 -13834.03773 724.56884
19950829 19960116 -12239.22607 724.56884
19950829 19960814 -10785.90817 724.56884
19951107 19951108 -5596.91008 724.56884
19951107 19951212 -4840.14732 724.56884
19951107 19960501 -5706.03894 724.56884
19960116 19960117 -1523.01522 724.56884
19960430 19960501 -7034.76603 724.56884
19960501 19961023 -7772.30734 724.56884
19960814 19970730 -7854.25960 724.56884
19961023 19961127 -5338.45952 724.56884
19970312 19970730 -6335.54015 724.56884
19970730 19971008 -7129.82358 724.56884
19971008 19980506 -14387.78699 724.56884
19980506 19980610 -7411.56489 724.56884
19980506 19990804 -7110.52633 724.56884
19980610 19990106 -8009.70938 724.56884
19990804 20000405 -13848.63237 724.56884
19990908 20000405 -12359.18455 724.56884
20000405 20000614 -7875.73313 724.56884
20000510 20000823 -8027.43828 724.56884
20000614 20000719 -4647.88161 724.56884
20000614 20000927 -8768.32848 724.56884
20000823 20000927 -12916.53778 724.56884
20031029 20040908 -9191.82467 724.56884
20031203 20040908 -4188.41589 724.56884
20040908 20041117 -8622.48670 724.56884
20041013 20050511 -11017.00185 724.56884
20041117 20041222 -4849.17640 724.56884
20041117 20050615 -11465.63323 724.56884
20041222 20050302 -1919.47684 724.56884
20050511 20050720 -6076.36120 724.56884
20050615 20050720 -2516.15551 724.56884
20050720 20060111 -2976.85311 724.56884
20060215 20060531 -1865.21862 724.56884
20060426 20071003 -7336.79978 724.56884
20061122 20061227 -8259.44495 724.56884
20061122 20071107 -4607.54465 724.56884
20061122 20080813 -2011.29082 724.56884
20061227 20070307 -10119.21517 724.56884
20071003 20071107 -11005.32833 724.56884
20071003 20071212 -7617.52927 724.56884
20080116 20080326 -7300.61636 724.56884
20080220 20080430 -7850.43278 724.56884
20080326 20080430 -12524.20563 724.56884
20080430 20080709 -4148.91135 724.56884
20080604 20080709 -4084.37823 724.56884
20080709 20080813 -9103.40630 724.56884
20080709 20080917 -12496.61805 724.56884
20080917 20090415 -10311.01094 724.56884
20090311 20090415 -12621.20382 724.56884
20090415 20090520 -4182.46629 724.56884
20090520 20090624 -8684.43043 724.56884
20090624 20090729 -6132.35921 724.56884
20090729 20090902 -4101.11747 724.56884
20090902 20091111 -6732.60129 724.56884
20091007 20091111 -7949.43430 724.56884
20091007 20091216 -623.55199 724.56884
20091111 20100505 -2944.18401 724.56884
20100120 20100224 -5129.66056 724.56884
20100224 20100331 -4680.16756 724.56884
20100224 20100505 -7096.61067 724.56884
20100505 20100609 -12830.88690 724.56884
19920607 19920712 -4916.81954 724.56884
19920607 19930418 -5948.07343 724.56884
19920712 19920816 -12806.24304 724.56884
19920816 19930103 -10655.93135 724.56884
19930418 19930905 -13222.18917 724.56884
19930418 19931219 -8040.71353 724.56884
19930627 19930905 -5862.41248 724.56884
19930627 19950411 -9484.44609 724.56884
19950411 19950516 -11958.37542 724.56884
19950516 19950620 -7864.63474 724.56884
19950620 19950829 -1874.30169 724.56884
19950829 19951108 -13834.03773 724.56884
19950829 19960116 -12239.22607 724.56884
19950829 19960814 -10785.90817 724.56884
19951107 19951108 -5596.91008 724.56884
19951107 19951212 -4840.14732 724.56884
19951107 19960501 -5706.03894 724.56884
19960116 19960117 -1523.01522 724.56884
19960430 19960501 -7034.76603 724.56884
19960501 19961023 -7772.30734 724.56884
19960814 19970730 -7854.25960 724.56884
19961023 19961127 -5338.45952 724.56884
19970312 19970730 -6335.54015 724.56884
19970730 19971008 -7129.82358 724.56884
19971008 19980506 -14387.78699 724.56884
19980506 19980610 -7411.56489 724.56884
19980506 19990804 -7110.52633 724.56884
19980610 19990106 -8009.70938 724.56884
19990804 20000405 -13848.63237 724.56884
19990908 20000405 -12359.18455 724.56884
20000405 20000614 -7875.73313 724.56884
20000510 20000823 -8027.43828 724.56884
20000614 20000719 -4647.88161 724.56884
20000614 20000927 -8768.32848 724.56884
20000823 20000927 -12916.53778 724.56884
