mast slav V Vunc
19920607 19920712 -4916.81954 10437.31546
19920607 19930418 -5948.07343 10204.25936
19920712 19920816 -12806.24304 11912.04474
19920816 19930103 -10655.93135 11850.42330
19930418 19930905 -13222.18917 12036.18598
19930418 19931219 -8040.71353 10822.54392
19930627 19930905 -5862.41248 10665.55474
19930627 19950411 -9484.44609 10608.05668
19950411 19950516 -11958.37542 11594.83830
19950516 19950620 -7864.63474 11238.77412
19950620 19950829 -1874.30169 10303.28240
19950829 19951108 -13834.03773 12051.85462
19950829 19960116 -12239.22607 11784.62674
19950829 19960814 -10785.90817 11450.06308
19951107 19951108 -5596.91008 10747.38240
19951107 19951212 -4840.14732 10650.07604
19951107 19960501 -5706.03894 10602.84192
19960116 19960117 -1523.01522 10286.48848
19960430 19960501 -7034.76603 11041.72096
19960501 19961023 -7772.30734 10845.55844
19960814 19970730 -7854.25960 10850.14018
19961023 19961127 -5338.45952 10652.88276
19970312 19970730 -6335.54015 10889.24032
19970730 19971008 -7129.82358 10767.12084
19971008 19980506 -14387.78699 12321.11430
19980506 19980610 -7411.56489 11173.67836
19980506 19990804 -7110.52633 10355.29092
19980610 19990106 -8009.70938 11087.04264
19990804 20000405 -13848.63237 12149.04468
19990908 20000405 -12359.18455 11546.11866
20000405 20000614 -7875.73313 10842.65274
20000510 20000823 -8027.43828 11256.81768
20000614 20000719 -4647.88161 10641.64698
20000614 20000927 -8768.32848 10969.87522
20000823 20000927 -12916.53778 11936.18544
20031029 20040908 -9191.82467 11089.58302
20031203 20040908 -4188.41589 9699.05750
20040908 20041117 -8622.48670 11426.24494
20041013 20050511 -11017.00185 11402.94260
20041117 20041222 -4849.17640 10641.91326
20041117 20050615 -11465.63323 11911.15032
20041222 20050302 -1919.47684 10309.56824
20050511 20050720 -6076.36120 10783.28092
20050615 20050720 -2516.15551 10340.49904
20050720 20060111 -2976.85311 9979.59142
20060215 20060531 -1865.21862 10295.76496
20060426 20071003 -7336.79978 10397.32990
20061122 20061227 -8259.44495 10915.15990
20061122 20071107 -4607.54465 10553.95750
20061122 20080813 -2011.29082 9947.38588
20061227 20070307 -10119.21517 11314.65722
20071003 20071107 -11005.32833 11403.14156
20071003 20071212 -7617.52927 11223.88762
20080116 20080326 -7300.61636 10768.72114
20080220 20080430 -7850.43278 10920.09554
20080326 20080430 -12524.20563 11831.10728
20080430 20080709 -4148.91135 10543.78788
20080604 20080709 -4084.37823 10429.84612
20080709 20080813 -9103.40630 11068.10694
20080709 20080917 -12496.61805 11944.34354
20080917 20090415 -10311.01094 11428.19792
20090311 20090415 -12621.20382 11887.08542
20090415 20090520 -4182.46629 10474.60010
20090520 20090624 -8684.43043 11403.65222
20090624 20090729 -6132.35921 10687.46050
20090729 20090902 -4101.11747 10459.14428
20090902 20091111 -6732.60129 11060.34606
20091007 20091111 -7949.43430 10811.13080
20091007 20091216 -623.55199 10272.24750
20091111 20100505 -2944.18401 10365.77064
20100120 20100224 -5129.66056 10625.84962
20100224 20100331 -4680.16756 10637.67790
20100224 20100505 -7096.61067 10744.12348
20100505 20100609 -12830.88690 12059.02436
20040623 20041006 -9096.39351 10053.69464
20040623 20041110 -2599.72764 10379.87466
20041110 20050330 -9779.23415 10689.25792
20041110 20080910 -7499.08676 10133.18250
20050119 20050223 -6645.37014 10717.06512
20051130 20060419 -3338.52001 10173.05518
20060315 20060419 -6282.88232 10445.51854
20060628 20060802 -10670.17654 11775.78656
20061115 20070404 -5542.19507 10274.60880
20061220 20070228 -4953.71041 10432.22580
20070124 20070404 -10434.45005 11075.68650
20070509 20070718 -11425.70002 10931.74172
20070613 20070718 -10788.04363 11214.21850
20070613 20070822 -10268.08341 10817.61596
20080109 20080213 -1363.95036 9756.11904
20080213 20080423 -9706.08765 10456.78674
20080319 20080423 -9665.90798 11160.47772
20080528 20080702 -7308.81876 10311.73116
20080528 20080806 -7270.06457 10227.62482
20080910 20090408 -6321.34557 10102.58102
20081015 20090513 -12947.20860 11383.99692
20090304 20090617 -8565.83870 10950.77910
20090408 20090513 -3381.39912 9947.27778
20090513 20090617 -7327.59098 10659.80518
20090513 20090722 -10442.66691 10975.87594
20090617 20090826 -8972.80695 11517.77560
20090722 20090930 -1754.27137 9977.05866
20090930 20091209 -11421.89818 11543.88532
20090930 20100428 -9084.53798 10469.22354
20100113 20100217 -5901.04097 10363.70460
20100217 20100428 -8352.00884 10511.55014
20100324 20100428 -4136.87162 10269.43436
