caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr
20031114,20031115,2003.86658863632,2003.86932654332,333633416,236857523.418615
20031115,20031116,2003.86932654332,2003.87206445033,37458049,234458657.12317
20031116,20031117,2003.87206445033,2003.87480235734,-39521173.6,234523388.385892
20031117,20031118,2003.87480235734,2003.87754026434,-335474744,240849045.669689
20031118,20031119,2003.87754026434,2003.88027817135,238948284,241466050.822885
20031119,20031120,2003.88027817135,2003.88301607836,-122816679,237725802.343793
20031120,20031121,2003.88301607836,2003.88575398537,720762593,240702395.085716
20031121,20031122,2003.88575398537,2003.88849189237,-237563089,239948524.688109
20031122,20031123,2003.88849189237,2003.89122979938,-944643159,244768248.349331
20031123,20031124,2003.89122979938,2003.89396770639,567973675,249560982.928021
20031124,20031125,2003.89396770639,2003.89670561339,-141101355,244658022.962665
20031125,20031126,2003.89670561339,2003.8994435204,403091731,242590496.928466
20031126,20031127,2003.8994435204,2003.90218142741,-365827210,239590700.153407
20031127,20031128,2003.90218142741,2003.90491933441,131942974,236244911.479591
20031128,20031129,2003.90491933441,2003.90765724142,-109477543,238961857.416618
20031129,20031130,2003.90765724142,2003.91039514843,255187674,255214693.346602
20031130,20031201,2003.91039514843,2003.91313305544,-346861036,253507078.993862
20031201,20031202,2003.91313305544,2003.91587096244,-76484957,238667531.516124
20031202,20031203,2003.91587096244,2003.91860886945,305962116,241010117.422485
20031203,20031204,2003.91860886945,2003.92134677646,-222558161,242257743.942273
20031204,20031205,2003.92134677646,2003.92408468346,270992952,247840215.259752
20031205,20031206,2003.92408468346,2003.92682259047,364170031,245809509.173262
20031206,20031207,2003.92682259047,2003.92956049748,-215486742,238938362.344769
20031207,20031208,2003.92956049748,2003.93229840448,-383039999,240502687.926767
20031208,20031209,2003.93229840448,2003.93503631149,250274856,244543064.714582
20031209,20031210,2003.93503631149,2003.9377742185,298201263,245165947.064432
20031210,20031211,2003.9377742185,2003.94051212551,-63795489.4,245546554.038129
20031211,20031212,2003.94051212551,2003.94325003251,-196126509,245155948.326774
20031212,20031213,2003.94325003251,2003.94598793952,-167373135,242341223.690894
20031213,20031214,2003.94598793952,2003.94872584653,240802948,240521818.968675
20031214,20031215,2003.94872584653,2003.95146375353,-397204651,238796961.454705
20031215,20031216,2003.95146375353,2003.95420166054,-177914.763,243227035.915007
20031216,20031217,2003.95420166054,2003.95693956755,-156252134,247216370.817145
20031217,20031218,2003.95693956755,2003.95967747455,106470452,244548940.091753
20031218,20031219,2003.95967747455,2003.96241538156,-101904601,242855306.098096
20031219,20031220,2003.96241538156,2003.96515328857,369964586,245348937.434015
20031220,20031221,2003.96515328857,2003.96789119558,-395038152,259979381.682471
