caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr,bperp_m
20031114,20041203,2003.86658863632,2004.92068283401,-1619989.65570747,613678.551136364,-95.95205
20040716,20051118,2004.53737585303,2005.87895028645,-1357741.68709402,314462.611607109,179.952285
20041203,20051118,2004.92068283401,2005.87895028645,-1748780.9916974,498947.343749947,-118.505644
20051118,20060825,2005.87895028645,2006.64556424841,-2118868.91057155,770433.398437646,-146.26998
20051118,20061103,2005.87895028645,2006.8372177389,-1402473.3970352,880495.312500115,209.595985
20051118,20070706,2005.87895028645,2007.50800495561,-887044.479020888,466144.577205865,201.70057
20051118,20070810,2005.87895028645,2007.60383170086,-929631.948730373,342414.843750009,179.60118
20060127,20061103,2006.07060377694,2006.8372177389,-1756944.10843014,1027244.5312502,-158.683432
20060127,20061208,2006.07060377694,2006.93304448414,-1323211.57381728,1010939.06250003,-122.111957
20060127,20070112,2006.07060377694,2007.02887122939,-948336.996963121,909845.156250119,84.943692
20060127,20070706,2006.07060377694,2007.50800495561,-1205122.18099335,410897.812499989,-166.597594
20060127,20070810,2006.07060377694,2007.60383170086,-1032046.87960619,403560.351562517,-188.667066
20060127,20070914,2006.07060377694,2007.6996584461,-894241.782169874,414350.73529416,145.18005
20060127,20071123,2006.07060377694,2007.89131193659,-778171.492884686,417076.726973718,-52.026031
20060303,20070112,2006.16643052219,2007.02887122939,-1750430.90382274,782662.50000002,-187.166156
20060303,20070914,2006.16643052219,2007.6996584461,-1116286.403871,348529.394531264,-120.44462
20060512,20070216,2006.35808401268,2007.12469797463,-1008057.66760022,1137306.44531238,169.393522
20060616,20080307,2006.45391075792,2008.17879217232,-973230.067228171,293498.437499969,274.971814
20060825,20080307,2006.64556424841,2008.17879217232,-1223155.77393927,513622.265624945,268.673591
20060825,20080516,2006.64556424841,2008.37044566281,-917922.722384977,375025.78124996,23.730052
20060825,20080620,2006.64556424841,2008.46627240806,-780219.746571068,370734.868421036,94.883136
20061103,20070706,2006.8372177389,2007.50800495561,-2087740.40949039,1299778.7946425,-7.797071
20061103,20070810,2006.8372177389,2007.60383170086,-2167075.21848328,1137306.44531238,-30.018928
20061103,20080201,2006.8372177389,2008.08296542708,-494995.944942107,677304.086538451,112.315733
20061103,20080307,2006.8372177389,2008.17879217232,-1093331.47409188,503140.178571375,-86.151125
20061103,20080411,2006.8372177389,2008.27461891757,-872003.328716226,606563.437499983,241.07689
20061103,20080620,2006.8372177389,2008.46627240806,-729139.08599137,500673.80514704,-259.898487
20061103,20080725,2006.8372177389,2008.5620991533,-873067.097671332,407636.718749957,-198.229212
20061103,20080829,2006.8372177389,2008.65792589855,-743493.710140854,401629.440789456,214.246873
20061208,20070706,2006.93304448414,2007.50800495561,-3259398.69695103,1173993.74999987,-39.191277
20061208,20070810,2006.93304448414,2007.60383170086,-2750508.39540932,1173993.75000007,-61.329028
20061208,20070914,2006.93304448414,2007.6996584461,-2164552.3626582,917182.617187674,272.593719
20061208,20080201,2006.93304448414,2008.08296542708,-742130.401009826,733746.093750067,80.181212
20061208,20080307,2006.93304448414,2008.17879217232,-1328426.08330906,632150.480769221,-118.346783
20061208,20080411,2006.93304448414,2008.27461891757,-1064670.14122673,566032.700892893,208.947701
20061208,20080620,2006.93304448414,2008.46627240806,-610357.903879916,568653.222656274,-292.134136
20061208,20080725,2006.93304448414,2008.5620991533,-890706.820753767,517938.419117628,-230.446993
20061208,20080829,2006.93304448414,2008.65792589855,-817883.791964046,423942.187500011,182.160895
20070112,20070914,2007.02887122939,2007.6996584461,-2753471.45291919,1299778.79464294,70.020667
20070112,20071123,2007.02887122939,2007.89131193659,-1831182.0092825,978328.125000025,-138.418148
20070112,20080201,2007.02887122939,2008.08296542708,-978295.377357451,800450.28409091,-122.92421
20070112,20080411,2007.02887122939,2008.27461891757,-1287710.88706085,496689.663461531,5.944926
20070112,20080829,2007.02887122939,2008.65792589855,-940525.726857106,414350.735294102,-20.923471
20070216,20080516,2007.12469797463,2008.37044566281,-1352456.46424739,564420.072115376,107.270973
20070216,20080620,2007.12469797463,2008.46627240806,-1176464.8073767,628925.223214325,178.426966
20070216,20080725,2007.12469797463,2008.5620991533,-926811.362735614,469597.499999987,240.109184
20070427,20080516,2007.31635146512,2008.37044566281,-1352880.23008226,747086.931818183,145.934467
20070427,20080620,2007.31635146512,2008.46627240806,-1076714.12857285,660371.48437506,217.07347
20070427,20080725,2007.31635146512,2008.5620991533,-1482320.28027933,586996.874999991,278.754431
20070706,20080307,2007.50800495561,2008.17879217232,-2019235.20731203,1006280.35714292,-78.802233
20070706,20080411,2007.50800495561,2008.27461891757,-986428.715451409,1063931.8359377,248.374624
